---
0	в	1	0	1	0
1	о	5	0	5	0
2	д	5	1	5	1
3	н	5	2	5	2
4	о	5	3	5	3
5	м	5	4	5	4
6	с	9	0	9	0
7	т	9	1	9	1
8	а	9	2	9	2
9	р	9	3	9	3
10	и	9	4	9	4
11	н	9	5	9	5
12	н	9	6	9	6
13	о	9	7	9	7
14	м	9	8	9	8
15	р	10	0	10	0
16	у	10	1	10	1
17	к	10	2	10	2
18	о	10	3	10	3
19	п	10	4	10	4
20	и	10	5	10	5
21	с	10	6	10	6
22	н	10	7	10	7
23	о	10	8	10	8
24	м	10	9	10	9
25	т	8	0	8	0
26	р	8	1	8	1
27	а	8	2	8	2
28	в	8	3	8	3
29	н	8	4	8	4
30	и	8	5	8	5
31	к	8	6	8	6
32	е	8	7	8	7
33	б	8	0	8	0
34	о	8	1	8	1
35	л	8	2	8	2
36	г	8	3	8	3
37	а	8	4	8	4
38	р	8	5	8	5
39	и	8	6	8	6
40	и	8	7	8	7
41	н	8	0	8	0
42	а	8	1	8	1
43	п	8	2	8	2
44	и	8	3	8	3
45	с	8	4	8	4
46	а	8	5	8	5
47	н	8	6	8	6
48	о	8	7	8	7
49	:	1	0	1	0
50	«	1	0	1	0
51	е	4	0	4	0
52	с	4	1	4	1
53	л	4	2	4	2
54	и	4	3	4	3
55	б	2	0	2	0
56	ы	2	1	2	1
57	з	5	0	5	0
58	н	5	1	5	1
59	а	5	2	5	2
60	л	5	3	5	3
61	и	5	4	5	4
62	м	7	0	7	0
63	у	7	1	7	1
64	ж	7	2	7	2
65	ч	7	3	7	3
66	и	7	4	7	4
67	н	7	5	7	5
68	ы	7	6	7	6
69	о	3	0	3	0
70	б	3	1	3	1
71	о	3	2	3	2
72	в	4	0	4	0
73	с	4	1	4	1
74	е	4	2	4	2
75	х	4	3	4	3
76	с	9	0	9	0
77	в	9	1	9	1
78	о	9	2	9	2
79	й	9	3	9	3
80	с	9	4	9	4
81	т	9	5	9	5
82	в	9	6	9	6
83	а	9	7	9	7
84	х	9	8	9	8
85	с	9	0	9	0
86	е	9	1	9	1
87	л	9	2	9	2
